idx,config_id,true_energy,oob_model_count,energy_std_oob,source
203,dd4d9c77f07bd27f101484cb781080bb6ed22f0a,-64251.4921875,3,0.05295726701236366,bi11-3
204,dee9feb296bbdcb37f2b7372cf3a03c0bd48866b,-64251.28125,3,0.08457973694093338,bi11-3
205,444036229ed98f6f214285b8a13f17f203def97e,-64251.45703125,4,0.1242381480119225,bi11-3
206,33f270d24a04652c45a0a463245273f66ad3084b,-64251.34765625,2,0.1308646066612466,bi11-3
207,b0fb32af5d382c8c071588ea7d7f8255a7ec3cb4,-64251.62109375,2,0.07291002687166044,bi11-3
208,14ad4d6f1d0f1340652e19c6af0fa974e882e72f,-64250.78125,2,0.05863426288171645,bi11-3
209,bb580a1eab3f0b2e04189049fb7950521fce9242,-64251.171875,2,0.013386944433437077,bi11-3
210,a3e4f79073905c1969c866ef0ea49418827f8e68,-64251.4296875,2,0.05355208449135342,bi11-3
211,e30052c8646d6c7adaa4c4c802dc3d569f9bf2b4,-64251.390625,1,0.0,bi11-3
212,a67a28ae5e357af1a232ec0cdc7d81cb363ff14d,-64251.76171875,3,0.08486307511256286,bi11-3
213,3bafc21b660c26f3a26350893549f63aa0ca5c6d,-64251.1640625,1,0.0,bi11-3
214,c5912b9eeae6bbaf3c332adee1c7e0d3b670234b,-64251.109375,5,0.10694554822574015,bi11-3
215,4989353018fb4bb3a708899036b6841c4dea370a,-64251.4765625,2,0.07738838077610737,bi11-3
216,8fe1e424a15b7d506061a92332f3d80ff956a504,-64251.69140625,1,0.0,bi11-3
217,61fd8be9b3f0d4e2628b23595c2516dd9872ba85,-64251.6015625,3,0.1456852606218732,bi11-3
218,19adaec174dcd5b598bbb4bbc910f900f70ec155,-64251.01171875,1,0.0,bi11-3
219,c0b8c4e10daa7e4650d46b15550c703adc93bcc5,-64250.796875,3,0.1071570005406633,bi11-3
220,1a6b6d0a71c6bb9fdd242bced02fa71eef651d17,-64251.7578125,3,0.0848673861109341,bi11-3
221,0ae4dc03a90c66095e04fdca73ddffa5c5ba9b4a,-64251.56640625,4,0.12062955553347096,bi11-3
222,5b84f75ccda541cf012b8ca71fac0b28c6d46b6a,-64251.73828125,4,0.11939673504501122,bi11-3
223,1cefa7a1df4d5a369c9068172815ee2369088a92,-64251.625,1,0.0,bi11-3
224,6b98ce9e82b3544d4360f8c925293ef466942112,-64251.22265625,2,0.08403986319689041,bi11-3
225,b6579e2e37f4002913d5f0151f2ec015877fcf61,-64251.57421875,4,0.06980269687893859,bi11-3
226,2870fec1262288d021f40fb6b7746f05aeb89d5d,-64251.64453125,0,,bi11-3
